date,temperature_c,rainfall_mm,humidity_pct,soil_moisture_pct,heat_index,stress_level,risk_level
2023-01-01,25.5,20.9,49.3,46.0,12.57,Low,Safe
2023-01-02,37.0,16.1,67.1,44.0,24.83,Medium,Alert
2023-01-03,32.6,9.3,83.6,21.3,27.25,Medium,Alert
2023-01-04,30.0,24.4,76.6,37.1,22.98,Medium,Alert
2023-01-05,21.1,20.5,80.3,39.0,16.94,Medium,Alert
2023-01-06,21.1,4.9,72.9,39.9,15.38,Medium,Alert
2023-01-07,19.2,27.3,74.6,49.0,14.32,Low,Safe
2023-01-08,35.3,24.7,82.5,46.7,29.12,High,Critical
2023-01-09,30.0,28.5,52.5,50.4,15.75,Medium,Alert
2023-01-10,32.2,21.8,64.5,58.2,20.77,High,Critical
2023-01-11,18.4,18.4,51.1,60.6,9.4,Low,Safe
2023-01-12,37.4,12.5,89.4,55.9,33.44,High,Critical
2023-01-13,34.6,28.0,87.2,67.8,30.17,High,Critical
2023-01-14,22.2,26.0,42.0,20.9,9.32,Medium,Alert
2023-01-15,21.6,1.4,75.3,29.8,16.26,Medium,Alert
2023-01-16,21.7,0.8,86.3,20.4,18.73,Medium,Alert
2023-01-17,24.1,11.3,49.0,52.4,11.81,Low,Safe
2023-01-18,28.5,24.3,68.4,64.9,19.49,Low,Safe
2023-01-19,26.6,29.6,85.8,32.2,22.82,Medium,Alert
2023-01-20,23.8,4.5,41.7,66.4,9.92,Low,Safe
2023-01-21,30.2,17.8,74.9,23.0,22.62,Medium,Alert
2023-01-22,20.8,11.4,54.9,66.7,11.42,Low,Safe
2023-01-23,23.8,29.1,86.2,37.6,20.52,Medium,Alert
2023-01-24,25.3,25.3,88.6,25.1,22.42,Medium,Alert
2023-01-25,27.1,25.1,87.2,44.3,23.63,Medium,Alert
2023-01-26,33.7,14.1,63.7,32.8,21.47,Medium,Alert
2023-01-27,22.0,12.4,83.1,34.2,18.28,Medium,Alert
2023-01-28,28.3,8.2,82.2,35.4,23.26,Medium,Alert
2023-01-29,29.8,1.7,56.0,60.2,16.69,Medium,Alert
2023-01-30,18.9,25.9,81.4,47.0,15.38,Low,Safe
2023-01-31,30.2,24.4,41.9,35.6,12.65,Medium,Alert
2023-02-01,21.4,30.0,69.8,50.5,14.94,Low,Safe
2023-02-02,19.3,29.9,51.5,55.8,9.94,Low,Safe
2023-02-03,37.0,16.7,46.0,33.6,17.02,Medium,Alert
2023-02-04,37.3,23.1,43.8,40.7,16.34,Medium,Alert
2023-02-05,34.2,28.3,74.8,26.1,25.58,Medium,Alert
2023-02-06,24.1,25.5,57.0,29.1,13.74,Medium,Alert
2023-02-07,20.0,7.4,76.2,54.1,15.24,Low,Safe
2023-02-08,31.7,13.5,43.3,29.1,13.73,Medium,Alert
2023-02-09,26.8,3.9,55.8,46.3,14.95,Low,Safe
2023-02-10,20.4,28.6,67.0,55.5,13.67,Low,Safe
2023-02-11,27.9,18.2,79.5,25.3,22.18,Medium,Alert
2023-02-12,18.7,6.9,55.9,48.4,10.45,Low,Safe
2023-02-13,36.2,20.2,71.3,32.8,25.81,Medium,Alert
2023-02-14,23.2,18.5,84.3,68.1,19.56,Low,Safe
2023-02-15,31.3,10.7,70.8,44.2,22.16,Medium,Alert
2023-02-16,24.2,3.4,51.6,60.3,12.49,Low,Safe
2023-02-17,28.4,20.1,41.2,47.5,11.7,Low,Safe
2023-02-18,28.9,15.6,83.5,22.2,24.13,Medium,Alert
2023-02-19,21.7,23.2,41.1,51.7,8.92,Low,Safe
2023-02-20,37.4,15.6,83.7,67.6,31.3,High,Critical
2023-02-21,33.5,25.6,66.4,50.1,22.24,High,Critical
2023-02-22,36.8,16.6,87.0,61.0,32.02,High,Critical
2023-02-23,35.9,16.8,79.9,64.2,28.68,High,Critical
2023-02-24,30.0,26.3,89.9,31.4,26.97,Medium,Alert
2023-02-25,36.4,12.1,57.5,30.6,20.93,Medium,Alert
2023-02-26,19.8,4.0,78.4,50.5,15.52,Low,Safe
2023-02-27,21.9,0.9,60.1,40.6,13.16,Medium,Alert
2023-02-28,18.9,22.7,64.0,62.0,12.1,Low,Safe
2023-03-01,24.5,18.6,71.4,65.0,17.49,Low,Safe
2023-03-02,25.8,21.1,83.7,37.7,21.59,Medium,Alert
2023-03-03,23.4,6.4,89.2,31.8,20.87,Medium,Alert
2023-03-04,34.6,4.1,78.4,59.0,27.13,High,Critical
2023-03-05,25.1,0.4,60.9,33.7,15.29,Medium,Alert
2023-03-06,23.6,10.5,61.1,61.1,14.42,Low,Safe
2023-03-07,28.9,17.7,76.9,41.2,22.22,Medium,Alert
2023-03-08,20.8,11.8,51.9,53.4,10.8,Low,Safe
2023-03-09,34.0,13.1,45.5,24.8,15.47,Medium,Alert
2023-03-10,19.5,27.1,57.7,51.2,11.25,Low,Safe
2023-03-11,37.7,10.4,54.4,42.6,20.51,Medium,Alert
2023-03-12,33.4,15.4,54.8,49.3,18.3,High,Critical
2023-03-13,22.0,23.5,51.7,28.4,11.37,Medium,Alert
2023-03-14,18.1,11.9,42.1,56.8,7.62,Low,Safe
2023-03-15,34.3,18.7,40.9,63.1,14.03,High,Critical
2023-03-16,32.1,25.9,89.4,30.8,28.7,Medium,Alert
2023-03-17,32.6,28.5,61.4,24.8,20.02,Medium,Alert
2023-03-18,33.4,4.4,59.2,21.2,19.77,Medium,Alert
2023-03-19,19.5,27.8,74.0,52.1,14.43,Low,Safe
2023-03-20,25.2,14.8,50.9,50.4,12.83,Low,Safe
2023-03-21,20.3,7.7,87.5,47.3,17.76,Low,Safe
2023-03-22,35.3,13.8,79.3,31.6,27.99,Medium,Alert
2023-03-23,30.5,29.4,44.5,39.5,13.57,Medium,Alert
2023-03-24,24.6,14.8,60.9,49.7,14.98,Low,Safe
2023-03-25,19.3,9.9,84.0,44.8,16.21,Medium,Alert
2023-03-26,24.2,19.0,87.2,69.4,21.1,Low,Safe
2023-03-27,24.5,7.2,63.4,26.8,15.53,Medium,Alert
2023-03-28,32.6,2.3,70.7,54.8,23.05,High,Critical
2023-03-29,30.8,3.9,48.4,40.2,14.91,Medium,Alert
2023-03-30,35.7,3.8,89.6,41.4,31.99,Medium,Alert
2023-03-31,27.4,4.6,51.6,55.9,14.14,Low,Safe
2023-04-01,20.4,4.2,87.1,54.6,17.77,Low,Safe
2023-04-02,32.3,19.2,72.5,69.6,23.42,High,Critical
2023-04-03,33.2,5.5,70.4,26.4,23.37,Medium,Alert
2023-04-04,29.2,10.4,65.6,25.2,19.16,Medium,Alert
2023-04-05,33.4,26.9,51.5,56.2,17.2,High,Critical
2023-04-06,27.9,14.2,48.8,48.9,13.62,Low,Safe
2023-04-07,28.5,20.0,51.0,33.7,14.54,Medium,Alert
2023-04-08,26.6,5.2,49.3,24.0,13.11,Medium,Alert
2023-04-09,18.5,5.8,79.0,24.3,14.62,Medium,Alert
2023-04-10,20.2,1.2,57.5,64.7,11.62,Low,Safe
2023-04-11,18.6,5.1,42.9,29.6,7.98,Medium,Alert
2023-04-12,30.7,8.4,88.5,36.2,27.17,Medium,Alert
2023-04-13,24.3,5.3,84.2,31.3,20.46,Medium,Alert
2023-04-14,28.2,2.7,86.4,37.7,24.36,Medium,Alert
2023-04-15,36.2,3.6,89.7,23.5,32.47,Medium,Alert
2023-04-16,23.0,13.8,48.7,46.0,11.2,Low,Safe
2023-04-17,26.2,6.2,59.8,23.4,15.67,Medium,Alert
2023-04-18,33.1,10.9,77.9,60.0,25.78,High,Critical
2023-04-19,22.6,15.1,74.8,31.7,16.9,Medium,Alert
2023-04-20,19.5,20.7,47.7,47.0,9.3,Low,Safe
2023-04-21,23.8,1.2,80.8,64.0,19.23,Low,Safe
2023-04-22,21.2,24.0,51.2,52.5,10.85,Low,Safe
2023-04-23,36.6,18.8,51.2,46.6,18.74,High,Critical
2023-04-24,34.2,2.5,66.8,36.2,22.85,Medium,Alert
2023-04-25,30.7,26.2,69.6,36.7,21.37,Medium,Alert
2023-04-26,35.4,27.6,69.0,53.5,24.43,High,Critical
2023-04-27,34.1,1.8,44.6,69.7,15.21,High,Critical
2023-04-28,21.7,8.3,83.9,53.1,18.21,Low,Safe
2023-04-29,35.9,24.2,53.3,47.9,19.13,High,Critical
2023-04-30,28.8,22.4,46.5,56.5,13.39,Low,Safe
2023-05-01,34.1,5.5,84.4,43.3,28.78,Medium,Alert
2023-05-02,35.9,6.3,87.8,23.0,31.52,Medium,Alert
2023-05-03,24.4,11.1,83.1,48.1,20.28,Low,Safe
2023-05-04,20.2,14.5,80.5,67.9,16.26,Low,Safe
2023-05-05,22.6,18.5,72.8,28.8,16.45,Medium,Alert
2023-05-06,26.5,11.1,67.5,54.5,17.89,Low,Safe
2023-05-07,34.4,13.9,44.3,30.0,15.24,Medium,Alert
2023-05-08,35.2,22.4,60.4,46.8,21.26,High,Critical
2023-05-09,18.1,1.1,58.6,24.8,10.61,Medium,Alert
2023-05-10,28.2,7.6,53.0,42.5,14.95,Medium,Alert
2023-05-11,26.3,21.4,76.2,57.8,20.04,Low,Safe
2023-05-12,22.4,26.9,64.8,37.4,14.52,Medium,Alert
2023-05-13,20.4,15.4,44.1,53.2,9.0,Low,Safe
2023-05-14,24.8,16.0,51.0,59.8,12.65,Low,Safe
2023-05-15,36.9,3.2,74.2,66.4,27.38,High,Critical
2023-05-16,24.5,13.4,43.8,31.7,10.73,Medium,Alert
2023-05-17,28.4,16.0,82.6,40.0,23.46,Medium,Alert
2023-05-18,32.1,7.3,64.8,27.6,20.8,Medium,Alert
2023-05-19,25.3,8.1,64.0,69.6,16.19,Low,Safe
2023-05-20,37.4,11.3,69.6,66.4,26.03,High,Critical
2023-05-21,37.2,0.6,81.2,47.0,30.21,High,Critical
2023-05-22,23.0,9.7,57.4,62.1,13.2,Low,Safe
2023-05-23,27.9,6.3,73.9,46.0,20.62,Low,Safe
2023-05-24,24.0,9.8,68.3,51.2,16.39,Low,Safe
2023-05-25,23.7,3.6,53.4,24.5,12.66,Medium,Alert
2023-05-26,18.7,26.7,83.9,57.8,15.69,Low,Safe
2023-05-27,30.2,17.8,79.9,26.4,24.13,Medium,Alert
2023-05-28,28.1,20.4,72.9,61.3,20.48,Low,Safe
2023-05-29,19.0,23.7,82.5,59.1,15.68,Low,Safe
2023-05-30,23.6,15.0,83.4,55.4,19.68,Low,Safe
2023-05-31,36.2,2.6,75.4,21.8,27.29,Medium,Alert
2023-06-01,22.8,16.1,81.9,35.2,18.67,Medium,Alert
2023-06-02,20.9,17.6,74.9,33.2,15.65,Medium,Alert
2023-06-03,27.8,22.4,74.0,38.0,20.57,Medium,Alert
2023-06-04,37.7,12.9,70.9,24.4,26.73,Medium,Alert
2023-06-05,22.8,3.8,77.6,66.8,17.69,Low,Safe
2023-06-06,31.4,8.5,47.9,47.7,15.04,Medium,Alert
2023-06-07,33.2,10.9,84.0,35.3,27.89,Medium,Alert
2023-06-08,22.8,19.4,83.6,39.8,19.06,Medium,Alert
2023-06-09,32.6,17.1,41.5,42.4,13.53,Medium,Alert
2023-06-10,25.4,10.7,81.3,50.0,20.65,Low,Safe
2023-06-11,30.6,29.6,46.4,45.8,14.2,Medium,Alert
2023-06-12,30.7,18.2,56.8,66.0,17.44,Medium,Alert
2023-06-13,28.7,7.1,77.2,44.8,22.16,Medium,Alert
2023-06-14,19.8,3.1,48.0,69.6,9.5,Low,Safe
2023-06-15,34.7,4.6,80.9,62.6,28.07,High,Critical
2023-06-16,24.4,7.4,81.6,30.4,19.91,Medium,Alert
2023-06-17,21.7,4.8,65.4,66.5,14.19,Low,Safe
2023-06-18,18.8,5.6,40.3,25.8,7.58,Medium,Alert
2023-06-19,29.8,8.6,54.4,60.9,16.21,Medium,Alert
2023-06-20,31.6,5.2,70.8,39.0,22.37,Medium,Alert
2023-06-21,18.3,26.9,89.1,63.9,16.31,Low,Safe
2023-06-22,28.2,2.4,71.6,63.4,20.19,Low,Safe
2023-06-23,22.5,15.7,53.0,60.3,11.92,Low,Safe
2023-06-24,30.9,12.3,71.7,59.5,22.16,Medium,Alert
2023-06-25,21.5,29.5,67.0,35.2,14.4,Medium,Alert
2023-06-26,31.8,3.4,79.0,24.0,25.12,Medium,Alert
2023-06-27,25.7,11.9,45.3,40.1,11.64,Medium,Alert
2023-06-28,36.7,29.1,78.1,28.7,28.66,Medium,Alert
2023-06-29,20.8,26.0,67.1,54.7,13.96,Low,Safe
2023-06-30,24.8,24.5,88.1,37.3,21.85,Medium,Alert
2023-07-01,20.3,7.7,57.1,68.8,11.59,Low,Safe
2023-07-02,36.5,5.1,71.6,52.0,26.13,High,Critical
2023-07-03,35.5,20.1,86.6,61.1,30.74,High,Critical
2023-07-04,23.2,27.9,45.1,26.6,10.46,Medium,Alert
2023-07-05,31.2,16.7,86.9,63.1,27.11,Medium,Alert
2023-07-06,34.3,17.1,74.4,66.1,25.52,High,Critical
2023-07-07,29.1,8.4,43.4,44.4,12.63,Medium,Alert
2023-07-08,28.6,23.1,55.0,50.3,15.73,Low,Safe
2023-07-09,22.8,5.6,75.4,58.2,17.19,Low,Safe
2023-07-10,19.9,9.7,43.4,28.7,8.64,Medium,Alert
2023-07-11,35.9,12.8,69.1,45.1,24.81,High,Critical
2023-07-12,36.0,15.2,57.3,39.9,20.63,Medium,Alert
2023-07-13,30.7,7.3,71.0,27.3,21.8,Medium,Alert
2023-07-14,24.8,3.4,42.3,38.4,10.49,Medium,Alert
2023-07-15,25.0,18.3,83.6,23.4,20.9,Medium,Alert
2023-07-16,32.5,8.7,88.7,21.3,28.83,Medium,Alert
2023-07-17,35.9,17.4,88.4,26.8,31.74,Medium,Alert
2023-07-18,35.7,4.6,77.5,68.2,27.67,High,Critical
2023-07-19,33.6,14.4,46.5,47.5,15.62,High,Critical
2023-07-20,30.8,16.0,77.9,68.3,23.99,Medium,Alert
2023-07-21,19.7,1.6,41.2,41.6,8.12,Medium,Alert
2023-07-22,21.2,10.1,41.1,35.6,8.71,Medium,Alert
2023-07-23,36.0,4.0,56.2,45.3,20.23,High,Critical
2023-07-24,30.1,1.9,64.4,42.0,19.38,Medium,Alert
2023-07-25,18.2,29.7,78.5,25.3,14.29,Medium,Alert
2023-07-26,20.0,9.7,74.2,52.0,14.84,Low,Safe
2023-07-27,31.3,24.3,62.3,30.8,19.5,Medium,Alert
2023-07-28,18.1,7.6,53.7,51.0,9.72,Low,Safe
2023-07-29,21.2,20.4,89.9,52.5,19.06,Low,Safe
2023-07-30,29.0,22.8,61.3,27.6,17.78,Medium,Alert
2023-07-31,31.8,17.9,62.6,23.1,19.91,Medium,Alert
2023-08-01,31.0,14.1,48.2,59.0,14.94,Medium,Alert
2023-08-02,22.5,12.4,79.7,43.0,17.93,Medium,Alert
2023-08-03,32.2,10.5,74.7,22.9,24.05,Medium,Alert
2023-08-04,22.7,27.9,51.0,69.7,11.58,Low,Safe
2023-08-05,24.5,24.9,44.1,22.9,10.8,Medium,Alert
2023-08-06,32.9,29.0,74.0,54.8,24.35,High,Critical
2023-08-07,31.0,3.7,72.7,69.2,22.54,Medium,Alert
2023-08-08,35.0,21.9,53.7,32.0,18.8,Medium,Alert
2023-08-09,31.2,28.2,87.5,27.1,27.3,Medium,Alert
2023-08-10,29.4,5.4,47.6,26.1,13.99,Medium,Alert
2023-08-11,19.9,2.0,61.6,35.2,12.26,Medium,Alert
2023-08-12,25.4,22.2,87.2,25.1,22.15,Medium,Alert
2023-08-13,23.3,17.2,61.0,54.6,14.21,Low,Safe
2023-08-14,22.9,25.3,71.9,23.1,16.47,Medium,Alert
2023-08-15,37.5,4.2,59.9,45.5,22.46,High,Critical
2023-08-16,25.9,23.9,53.7,69.8,13.91,Low,Safe
2023-08-17,35.8,6.0,89.2,60.7,31.93,High,Critical
2023-08-18,30.6,4.9,60.5,50.8,18.51,Medium,Alert
2023-08-19,33.9,4.9,84.7,35.3,28.71,Medium,Alert
2023-08-20,28.1,24.4,51.5,51.2,14.47,Low,Safe
2023-08-21,29.5,20.0,50.7,46.4,14.96,Medium,Alert
2023-08-22,27.9,15.7,41.6,41.3,11.61,Medium,Alert
2023-08-23,21.9,10.8,72.6,26.5,15.9,Medium,Alert
2023-08-24,32.4,26.3,58.4,64.3,18.92,High,Critical
2023-08-25,23.6,11.8,83.2,42.5,19.64,Medium,Alert
2023-08-26,18.5,24.5,63.7,29.7,11.78,Medium,Alert
2023-08-27,30.9,13.2,88.4,38.4,27.32,Medium,Alert
2023-08-28,21.5,11.3,49.3,40.7,10.6,Medium,Alert
2023-08-29,36.8,13.9,83.4,61.4,30.69,High,Critical
2023-08-30,37.1,9.0,78.8,56.7,29.23,High,Critical
2023-08-31,36.3,22.4,78.5,58.5,28.5,High,Critical
2023-09-01,25.4,15.1,82.2,20.6,20.88,Medium,Alert
2023-09-02,18.3,7.0,78.1,40.8,14.29,Medium,Alert
2023-09-03,36.6,27.0,71.3,44.1,26.1,Medium,Alert
2023-09-04,26.6,11.5,46.6,21.0,12.4,Medium,Alert
2023-09-05,37.3,16.3,41.6,33.0,15.52,Medium,Alert
